rating_rank,title,year,genres
142,Barry Lyndon,,"Drama, Romance, War"
143,The Beatles: Get Back - The Rooftop Concert,,"Music, Documentary"
144,James Acaster: Cold Lasagne Hate Myself 1999,,Comedy
145,"Paris, Texas",,Drama
146,A Woman Under the Influence,,Drama
147,Sansho the Bailiff,,Drama
148,Baseball,,
149,The Red Shoes,,"Drama, Romance"
150,Hoop Dreams,,Documentary
151,Oldboy,,"Drama, Thriller, Mystery, Action"
152,It's a Wonderful Life,,"Drama, Family, Fantasy"
153,Once Upon a Time in the West,,"Drama, Western"
154,The Ascent,,"Horror, Action, Science Fiction"
155,Captain Ahab: The Story of Dave Stieb,,
156,Smiling Friends,,"Animation, Family"
157,Revolutionary Girl Utena,,"Animation, Fantasy, Action, Romance"
158,Steins;Gate,,"Science Fiction, Animation, Drama"
159,Bluey: The Sign,,"Animation, Family, TV Movie"
160,CALL ME IF YOU GET LOST LIVE,,"Music, Documentary"
161,It's Such a Beautiful Day,,"Animation, Comedy"
162,Tear Along the Dotted Line,,
163,A Very Sunny Christmas,,Comedy
164,Sherlock: The Reichenbach Fall,,
165,Tie Xi Qu: West of the Tracks,,Documentary
166,Rear Window,,"Thriller, Mystery"
167,BTS: Yet to Come in Cinemas,,"Music, Documentary"
168,The Act of Killing,,Documentary
169,The Blue Planet,,"Action, Adventure, Family, Science Fiction"
170,My Chemical Romance: Life on the Murder Scene,,"Documentary, Music"
171,Princess Mononoke,,"Adventure, Fantasy, Animation"
172,"Sherlock, Jr.",,"Action, Comedy, Mystery"
173,The Pianist,,"Drama, War"
174,Nights of Cabiria,,Drama
175,I Am Cuba,,Drama
176,Arcane: Bridging the Rift,,
177,Love Exposure,,"Action, Comedy, Drama, Romance"
178,My Mister,,"Comedy, Drama, Romance"
179,The Lord of the Rings: The Fellowship of the Ring,,"Adventure, Fantasy, Action"
180,BTS Permission to Dance On Stage - Seoul: Live Viewing,,"Music, Documentary"
181,BTS: Permission to Dance on Stage - LA,,"Music, Documentary"
182,Falsettos,,"Music, Drama, Comedy, Romance"
183,Satantango,,Drama
184,Move to Heaven,,Mystery
185,"Seven Worlds, One Planet",,
186,A Separation,,Drama
187,Scenes from a Marriage,,"Drama, Romance"
188,Decalogue I,,"Drama, TV Movie"
189,One Flew Over the Cuckoo's Nest,,Drama
190,Lawrence of Arabia,,"Adventure, History, War"
191,Twenty One Pilots: Livestream Experience,,Music
192,Nobody Knows,,Drama
193,SUGA: Road to D-DAY,,"Documentary, Music"
194,Gintama: The Very Final,,"Animation, Action, Comedy"
195,Nirvana: Live at the Paramount,,"Music, Documentary"
196,Eternity and a Day,,Drama
197,Death Note,,"Crime, Fantasy, Horror"
198,This Is Going to Hurt,,Documentary
199,Interstellar,,"Adventure, Drama, Science Fiction"
200,Taylor Swift: Speak Now World Tour Live,,"Music, Documentary"
201,It's Always Sunny In Philadelphia: Sunny Side Up,,
202,The Beatles Anthology,,
203,The Thing,,"Horror, Mystery, Science Fiction"
204,Adventure Time: Distant Lands,,
205,boygenius: the film,,
206,Pearl Jam: MTV Unplugged,,"Music, Documentary"
207,Where Is the Friend's House?,,"Drama, Family"
208,Witness for the Prosecution,,"Drama, Mystery, Crime"
209,The Office Retrospective,,Documentary
210,A Man Escaped,,"Drama, Thriller"
211,Hannibal: This Is My Design,,Documentary
212,Dear Zachary: A Letter to a Son About His Father,,"Documentary, Crime"
213,Life Is Beautiful,,"Comedy, Drama"
214,Mushi-Shi,,"Fantasy, Adventure, Mystery, Animation"
215,The Seventh Seal,,"Fantasy, Drama"
216,For Sama,,"Documentary, War"
217,Inglourious Basterds,,"Drama, Thriller, War"
218,James Acaster: Repertoire,,
219,City Lights,,"Comedy, Romance, Drama"
220,Before Sunset,,"Drama, Romance"
221,All About Eve,,Drama
222,Three Colours: Red,,"Drama, Mystery, Romance"
223,Kill Bill: The Whole Bloody Affair,,"Action, Crime, Thriller"
224,j-hope IN THE BOX,,"Documentary, Music"
225,Mirror,,"Science Fiction, Drama, Romance"
226,Red Beard,,Drama
227,Streetwise,,Documentary
228,Adventure Time: Fionna & Cake,,
229,The Midnight Gospel,,
230,Hans Zimmer: Live in Prague,,Music
231,Adventure Time: Stakes,,
232,The Haunting of Hill House,,
233,Wild Strawberries,,Drama
234,Primal,,"Action, Adventure, Thriller"
235,La Jetée,,"Romance, Science Fiction"
236,Six Feet Under: In Memoriam,,Documentary
237,Army of Shadows,,"War, History, Thriller"
238,Paper Moon,,"Comedy, Crime, Drama"
239,An Elephant Sitting Still,,Drama
240,Ordet,,Drama
241,The Silence of the Lambs,,"Crime, Drama, Thriller"
242,Harry Styles: Behind the Album - The Performances,,"Music, Documentary"
243,Harry Styles: Behind the Album,,"Music, Documentary"
244,Before Sunrise,,"Drama, Romance"
245,Landscape in the Mist,,Drama
246,Late Spring,,Drama
247,Se7en,,"Crime, Mystery, Thriller"
248,Radiohead: The King Of Limbs – Live From The Basement,,"Music, Documentary"
249,Apur Sansar,,Drama
250,Cosmos,,"Drama, Comedy, Fantasy"
251,No Country for Old Men,,"Crime, Drama, Thriller"
252,Howl's Moving Castle,,"Fantasy, Animation, Adventure"
253,Weak Hero Class 1,,
254,Big Little Lies,,"Action, Comedy, Adventure"
255,Singin' in the Rain,,"Comedy, Romance"
256,Life,,"Horror, Science Fiction, Mystery, Thriller"
257,Jam,,"Drama, Documentary"
258,Amadeus,,"History, Music, Drama"
259,The Wages of Fear,,Action
260,Psycho,,"Horror, Thriller, Mystery"
261,It's a Sin,,Comedy
262,Homecoming: A Film by Beyoncé,,"Documentary, Music"
263,Russia 1985-1999: TraumaZone,,
264,FLCL,,"Action, Comedy, Animation"
265,Pink Floyd: Live at Pompeii,,"Music, Documentary"
266,Still Walking,,"Drama, Family"
267,O Auto da Compadecida,,"Comedy, Drama, Fantasy"
268,The Civil War,,Drama
269,Banana Fish,,
270,All That Jazz,,Drama
271,Lemonade,,"Music, TV Movie"
272,The 400 Blows,,Drama
273,Attack on Titan: The Roar of Awakening,,"Animation, Action, Adventure, Fantasy"
274,M,,"Animation, Family, Comedy, Action"
275,Harry Styles: One Night Only in New York,,Music
276,Twinkling Watermelon,,
277,PLUTO,,Comedy
278,It's Such a Beautiful Day,,"Animation, Comedy"
279,Eight Hours Don’t Make a Day,,Documentary
280,Emilie Muller,,"Comedy, Drama"
281,The Great Dictator,,"Comedy, War"
282,Brief Encounter,,"Drama, Romance"
283,Mommy,,Drama
284,Relaxing Old Footage With Joe Pera,,"Documentary, Comedy"
285,Taste of Cherry,,Drama
286,SUGA | Agust D TOUR 'D-DAY' THE MOVIE,,"Music, Documentary"
