rating_rank,title,year,genres
611,The Big City,,"TV Movie, Animation, Family, Comedy, Music"
612,The Night Of,,Drama
613,Brideshead Revisited,,"Drama, Romance"
614,Fargo,,"Crime, Drama, Thriller"
615,Citizen Kane,,"Mystery, Drama"
616,Rosemary's Baby,,"Drama, Horror, Thriller"
617,Taylor Swift: Speak Now,,"Music, Documentary"
618,Ratatouille,,"Animation, Comedy, Family, Fantasy"
619,BTS: Burn the Stage,,"Music, Documentary"
620,Hilda Furacão,,
621,Taylor Swift: Journey to Fearless,,
622,LINK CLICK,,
623,Samurai X: Trust & Betrayal,,"Drama, Action, Animation"
624,The White Ribbon,,"Drama, Mystery"
625,The Web,,"Crime, Drama, Thriller"
626,Station Eleven,,Drama
627,Euphoria: F*ck Anyone Who’s Not a Sea Blob,,
628,A Moment of Innocence,,Drama
629,Swing Girls,,"Comedy, Music"
630,Ice Merchants,,"Animation, Drama"
631,Full Metal Jacket,,"Drama, War"
632,Gaga Chromatica Ball,,Music
633,The Kid,,"Comedy, Drama"
634,Sans Soleil,,Documentary
635,Angels in America,,"Drama, TV Movie, Music"
636,Unbelievable,,"Science Fiction, Comedy"
637,Mare of Easttown,,Documentary
638,Tropico,,Thriller
639,Utopia,,Drama
640,Poetry,,Drama
641,Sunrise: A Song of Two Humans,,"Drama, Romance"
642,Yearning,,
643,Mouse,,Documentary
644,Twisted: The Untold Story of a Royal Vizier,,"Comedy, Music"
645,PlayTime,,Comedy
646,The General,,"Comedy, Action, Adventure, War"
647,Back to the Future,,"Adventure, Comedy, Science Fiction"
648,Song of the Sea,,"Family, Animation, Fantasy"
649,Song of the Sea,,"Family, Animation, Fantasy"
650,Moonlight,,Drama
651,Dimensions of Dialogue,,"Animation, Comedy, Fantasy"
652,Keep Your Hands Off Eizouken!,,"Comedy, Adventure"
653,"Quo Vadis, Aida?",,"War, Drama, History"
654,Bo Burnham: Inside,,"Comedy, Drama"
655,Il Sorpasso,,"Drama, Comedy"
656,A Personal Journey with Martin Scorsese Through American Movies,,Documentary
657,Trainspotting,,"Drama, Crime"
658,In a Lonely Place,,"Drama, Romance, Mystery, Crime"
659,Les Misérables: 10th Anniversary Concert at the Royal Albert Hall,,Music
660,For a Few Dollars More,,Western
661,Stand Up Solutions,,Comedy
662,Unforgiven,,Western
663,Kino's Journey,,
664,Grand Illusion,,"Drama, History, War"
665,Ariana Grande at the BBC,,"Music, TV Movie, Documentary"
666,Inception,,"Action, Science Fiction, Adventure"
667,WALL·E,,"Animation, Family, Science Fiction"
668,The Turin Horse,,Drama
669,Cléo from 5 to 7,,Drama
670,RRR,,"Action, Drama, History"
671,Haibane Renmei,,
672,Daniel Sloss: Live Shows,,
673,Wolfwalkers,,"Animation, Family, Adventure, Fantasy"
674,Drive My Car,,Drama
675,Making of The Last of Us,,Documentary
676,Flee,,
677,The Man Who Sleeps,,Drama
678,Kadaisi Vivasayi,,Drama
679,The Lovers on the Bridge,,"Drama, Romance"
680,Grounded: Making The Last of Us,,Documentary
681,Casino,,"Crime, Drama"
682,Demons,,Drama
683,Tokyo Twilight,,Drama
684,"Spring, Summer, Fall, Winter... and Spring",,Drama
685,The Last Picture Show,,Drama
686,Louis Tomlinson: All of Those Voices,,"Documentary, Music"
687,This Is England '90,,
688,Infinity Train,,"Adventure, Animation, Fantasy"
689,Star Trek: The Next Generation – The Best of Both Worlds,,Science Fiction
690,Y Tu Mamá También,,"Drama, Romance"
691,Beyond Evil,,Horror
692,Weightlifting Fairy Kim Bok-joo,,
693,Welcome to the N.H.K.,,
694,Twin Peaks: Fire Walk with Me,,"Drama, Mystery, Horror"
695,Embrace of the Serpent,,"Drama, Adventure"
696,Doctor Who: Genesis of the Daleks,,"Science Fiction, Adventure, Drama"
697,Sound of Metal,,"Drama, Music"
698,Bo Burnham: Make Happy,,"Comedy, Music"
699,The Weeknd: Live at SoFi Stadium,,"Music, Documentary"
700,Hamlet,,Drama
701,Black Mirror: White Christmas,,
702,Kill Bill: Vol. 1,,"Action, Crime"
703,Texhnolyze,,
704,Song of Avignon,,Documentary
705,Shake! Otis at Monterey,,"Documentary, Music"
706,The Shop on Main Street,,"Drama, War"
707,DAICON IV Opening Animation,,"Animation, Action, Science Fiction, Fantasy"
708,Fallen Angels,,"Action, Romance, Crime"
709,The Virtues,,Documentary
710,The Young and the Damned,,Drama
711,"What's Opera, Doc?",,"Animation, Comedy, Music"
712,We All Loved Each Other So Much,,"Drama, Comedy"
713,A Small Light,,
714,Son of the White Mare,,"Adventure, Animation, Fantasy"
715,The Secret in Their Eyes,,"Mystery, Thriller, Drama"
716,Heaven Official's Blessing,,
717,Elvis: The '68 Comeback Special,,"Music, TV Movie"
718,Hearts of Darkness: A Filmmaker's Apocalypse,,Documentary
719,Mad Max: Fury Road,,"Action, Adventure, Science Fiction"
720,Good Omens,,"Comedy, Fantasy"
721,Bee and PuppyCat,,
722,My Neighbor Totoro,,"Fantasy, Animation, Family"
723,Le Cercle Rouge,,"Crime, Thriller"
724,The Deer Hunter,,"Drama, War"
725,National Theatre Live: A Midsummer Night's Dream,,"Comedy, Fantasy"
726,The U.S. and the Holocaust,,
727,All the Beauty and the Bloodshed,,Documentary
728,Attack on Titan: No Regrets,,
729,Peaky Blinders: The True Story,,Documentary
730,The Clock,,"Romance, Drama"
731,North by Northwest,,"Mystery, Thriller, Adventure"
732,"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",,Documentary
733,Dancer in the Dark,,"Drama, Crime"
734,The Tree and the Cat,,"Animation, Family, Fantasy, Drama"
735,To Live,,"Action, Science Fiction, Thriller, Mystery"
736,Pas de Deux,,"Music, Drama"
737,Young Royals Forever,,Documentary
738,Early Summer,,Drama
739,Puparia,,"Animation, Drama, Fantasy"
740,F for Fake,,Documentary
741,Ivan's Childhood,,"Drama, War"
742,Good Morning,,"Comedy, Family, Drama"
743,Mysterious Skin,,Drama
744,One Love Manchester,,Music
745,Spirited Away: Live on Stage,,"Drama, Adventure, Family, Fantasy"
746,The Salt of the Earth,,Documentary
747,Olive Kitteridge,,
748,Pen15: Jacuzzi,,
749,OPAL,,"Animation, Horror, Music"
750,John Mulaney: Kid Gorgeous at Radio City,,Comedy
751,Heimat,,Drama
752,Pastoral: To Die in the Country,,"Fantasy, Drama"
753,Mushi-Shi: The Next Chapter - Drops of Bells,,"Fantasy, Adventure, Mystery, Animation"
754,Fellow Travelers,,
755,The Last Waltz,,"Documentary, Music"
756,Macario,,"Drama, Fantasy"
757,"War and Peace, Part IV: Pierre Bezukhov",,"Drama, History, War"
758,"Synecdoche, New York",,Drama
759,Normal People Confessions,,
760,Human,,Documentary
761,The Emigrants,,"Drama, History"
762,Tokyo Olympiad,,Documentary
763,Au Revoir les Enfants,,"Drama, War"
764,Kagemusha,,"Action, Drama, History, War"
765,Shame,,Drama
766,The Conformist,,Drama
767,Fail Safe,,"Thriller, Drama, War"
768,All About Lily Chou-Chou,,"Drama, Crime"
769,Puella Magi Madoka Magica the Movie Part III: Rebellion,,"Mystery, Animation, Fantasy"
770,Concert for George,,"Music, Documentary"
771,The Long Goodbye,,"Crime, Comedy, Mystery, Thriller"
772,Hannah Gadsby: Nanette,,Comedy
773,How to Make Millions Before Grandma Dies,,Drama
774,La Belle Noiseuse,,Drama
775,The Sting,,"Comedy, Crime, Drama"
776,Marketa Lazarová,,"Drama, History"
777,Sherlock: A Study in Pink,,
778,Past Lives,,"Drama, Romance"
779,Ali: Fear Eats the Soul,,"Romance, Drama"
780,Time of the Gypsies,,"Drama, Comedy, Crime, Fantasy"
781,Persepolis,,"Animation, Drama"
782,Sing Sing,,Comedy
783,Dreams,,"Drama, Romance"
784,Daily Dose of Sunshine,,
785,Hiroshima Mon Amour,,"Drama, History, Romance"
786,Hamilton,,"History, Drama"
787,Nayakan,,"Drama, Crime"
788,The Given Word,,Drama
789,"Kanehsatake, 270 Years of Resistance",,Documentary
790,Fireworks,,
791,The Eighth Sense,,"Romance, Drama"
792,Signal,,
793,Pixote,,"Crime, Drama"
794,Won't You Be My Neighbor?,,Documentary
795,Live Aid,,"Music, Documentary"
796,Decalogue X,,"Drama, TV Movie, Comedy"
797,Star Wars,,"Adventure, Action, Science Fiction"
798,On the Waterfront,,"Crime, Drama, Romance"
799,Little Miss Sunshine,,"Comedy, Drama"
800,Bray Wyatt: Becoming Immortal,,Documentary
801,The Conversation,,"Crime, Drama, Mystery"
802,Six Seasons and A Movie: A Community Art Show,,Documentary
803,American Movie,,"Documentary, Comedy"
804,Evolution of a Filipino Family,,Drama
805,A Face in the Crowd,,Drama
806,One More Time with Feeling,,"Documentary, Music"
807,The PriceMaster,,"Comedy, Documentary"
808,I Know This Much Is True,,
809,Memento,,"Mystery, Thriller"
810,8:46,,Comedy
811,Touch of Evil,,"Crime, Thriller, Mystery"
812,"Night Is Short, Walk on Girl",,"Comedy, Romance, Animation, Fantasy"
813,The Life of Oharu,,Drama
814,Country Music,,
815,First Love,,"Crime, Action, Comedy"
816,Day for Night,,"Comedy, Drama"
817,Rob Cantor: Shia LaBeouf Live,,
818,Diabolique,,"Mystery, Thriller, Horror"
819,Winter Sleep,,Drama
820,Sufjan Stevens: Carrie & Lowell Live,,Music
821,La Strada,,Drama
822,One Week,,Drama
823,Three Colours: Blue,,Drama
824,The Exterminating Angel,,"Comedy, Drama, Fantasy"
825,Chunky Shrapnel,,"Music, Documentary"
826,I Am Not Your Negro,,Documentary
827,jeen-yuhs: A Kanye Trilogy,,
828,All Too Well: The Short Film,,"Drama, Music"
829,Amélie,,"Comedy, Romance"
830,Love Streams,,Drama
831,The Green Ray,,"Drama, Romance"
832,Björk: Vespertine Live – Royal Opera House 2001,,Music
833,Mind Game,,"Animation, Romance, Comedy, Drama, Fantasy"
834,The Count of Monte-Cristo,,"Adventure, Drama, History"
835,"They Shoot Horses, Don't They?",,Drama
836,Prison Playbook,,
837,David Attenborough: A Life on Our Planet,,"Documentary, Drama"
838,Day of Wrath,,"Adventure, Drama, Action"
839,Top Gear: Vietnam Special,,Documentary
840,Sense8: Amor Vincit Omnia,,
841,A Taxi Driver,,"Action, Drama, History"
842,BoJack Horseman Christmas Special,,
843,Nostos: The Return,,"Drama, Adventure"
844,Taxi Driver,,"Crime, Drama"
845,Hedgehog in the Fog,,"Animation, Adventure, Mystery"
846,Alone in the Wilderness,,"Documentary, History"
847,Girls' Last Tour,,
848,Mother,,"Drama, Thriller, Horror"
849,Rio Bravo,,Western
850,Cria!,,Drama
851,Short Term 12,,Drama
852,Pan's Labyrinth,,"Fantasy, Drama, War"
853,A Silent Voice,,"Animation, Drama"
854,Bo Burnham: The Inside Outtakes,,"Comedy, Music, Drama"
855,The Metamorphosis of Birds,,"Documentary, Drama"
856,"Love, Death & Robots: Zima Blue",,Action
857,Hundreds of Beavers,,"Comedy, Adventure, Action"
858,Strangers from Hell,,Horror
859,The Message,,"Adventure, Drama, Action, History"
860,Taylor Swift: The Road to Reputation,,"Music, Documentary, TV Movie"
861,Pictures of the Old World,,Documentary
862,This World Can't Tear Me Down,,
863,Who Killed Captain Alex?,,"Action, Drama, Comedy"
864,Everything Will Be OK,,"Animation, Drama"
865,Manoel’s Destinies,,"Fantasy, Adventure"
866,5 Broken Cameras,,"War, Documentary, Drama, Crime"
867,Paddington 2,,"Adventure, Comedy, Family"
868,The Imagineering Story,,
869,"War and Peace, Part I: Andrei Bolkonsky",,"War, Drama, History"
870,The Wire Odyssey,,Documentary
871,Scenes from a Marriage,,"Drama, Romance"
872,My Life as a Zucchini,,"Animation, Comedy, Drama, Family, Romance"
873,The Matrix,,"Action, Science Fiction"
874,Ariana Grande: Dangerous Woman Diaries,,
875,From What Is Before,,Drama
876,Through the Olive Trees,,Drama
877,The Spirit of the Beehive,,"Drama, Fantasy"
878,"Throw Away Your Books, Rally in the Streets",,Drama
879,"The Cook, the Thief, His Wife & Her Lover",,"Crime, Drama"
880,"McCartney 3, 2, 1",,
881,What Ever Happened to Baby Jane?,,"Thriller, Drama, Horror"
882,All the President's Men,,"Drama, History, Mystery, Thriller"
883,Whisper of the Heart,,"Animation, Drama, Family"
884,SEVENTEEN TOUR 'FOLLOW' TO JAPAN: LIVE VIEWING,,Music
885,The Mother and the Whore,,"Drama, Romance, Comedy"
886,Original Cast Album: Company,,"Documentary, Music"
887,Come from Away,,"Comedy, Drama"
888,Get Out,,"Mystery, Thriller, Horror"
889,A Very Potter Musical,,"Music, Comedy"
890,Scott Pilgrim Takes Off,,
891,The Young Pope,,Documentary
892,Raiders of the Lost Ark,,"Adventure, Action"
893,HAIKYU!! The Dumpster Battle,,"Animation, Drama"
894,The Shop Around the Corner,,"Comedy, Drama, Romance"
895,Summer of Soul,"...or, When the Revolution Could Not Be Televised","Music, Documentary, History"
896,Black Mirror,,Drama
897,"Rome, Open City",,"Drama, History, War"
898,When a Woman Ascends the Stairs,,Drama
899,Amores Perros,,"Drama, Thriller"
900,"Comrades, Almost a Love Story",,"Drama, Romance"
901,The Naked Island,,Drama
902,Reservoir Dogs,,"Crime, Thriller"
903,GODSPEED,,"Drama, Mystery"
904,Tinker Tailor Soldier Spy,,"Drama, Thriller, Mystery"
905,"Love Is the Message, the Message Is Death",,History
906,Anne of Green Gables,,"Family, Drama"
907,Ben Platt: Live from Radio City Music Hall,,"Music, Documentary"
908,Dogville,,"Crime, Drama, Thriller"
909,Haikyuu!! Movie 4: Battle of Concepts,,"Animation, Drama"
910,All About My Mother,,"Comedy, Drama"
911,A Prophet,,"Crime, Drama"
912,Walking with Dinosaurs,,"Animation, Family, Adventure"
913,The Holy Mountain,,Drama
914,Doctor Who: The Day of the Doctor,,"Science Fiction, Adventure"
915,Out-Takes from the Life of a Happy Man,,Documentary
916,Crumb,,Documentary
917,Aliens,,"Action, Thriller, Science Fiction"
918,The Wire,,Documentary
919,Stand by Me,,"Crime, Drama"
920,Nausicaä of the Valley of the Wind,,"Adventure, Animation, Fantasy"
921,John Mulaney: The Comeback Kid,,Comedy
922,Future Boy Conan,,"Action, Adventure, Science Fiction, Animation"
923,Nashville,,"Drama, Music, Comedy"
924,Hard Boiled,,"Action, Thriller, Crime"
925,Mustang,,Drama
926,The Sorrow and the Pity,,"Documentary, History, War"
927,Investigation of a Citizen Above Suspicion,,"Drama, Thriller"
928,My Night at Maud's,,"Romance, Comedy, Drama"
929,Manila in the Claws of Light,,"Drama, Mystery"
930,Kitbull,,"Animation, Family, Drama"
931,Black Swan,,"Drama, Thriller, Horror"
932,The Grapes of Wrath,,Drama
933,Little Women,,"Drama, Romance, History"
934,Haru,,"Comedy, Drama, Adventure, Family"
935,Ulysses' Gaze,,"Drama, History, War"
936,Undone,,Animation
937,Puss in Boots: The Last Wish,,"Animation, Adventure, Fantasy, Comedy, Family"
938,Coraline,,"Animation, Family, Fantasy"
939,LA 92,,"Documentary, History"
940,Girl - Yeah Right!,,Documentary
941,"Love, Deutschmarks and Death",,Documentary
942,One Froggy Evening,,"Animation, Comedy, Music"
943,It Happened One Night,,"Comedy, Romance"
944,"Like Father, Like Son",,Drama
945,Roman Holiday,,"Romance, Comedy, Drama"
946,12 Years a Slave,,"Drama, History"
947,Cool Hand Luke,,"Action, Drama, Crime"
948,This Is England '88,,
949,Small Axe,,
950,Ryuichi Sakamoto | Opus,,"Documentary, Music"
951,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,,"Animation, Science Fiction, Music, Adventure"
952,In Transit,,"Documentary, Music"
953,"Love, Death & Robots: Bad Travelling",,Action
954,Angel's Egg,,"Animation, Fantasy, Mystery"
955,Capernaum,,Drama
956,The Three Deaths of Marisela Escobedo,,"Documentary, Crime"
957,Dopesick,,Documentary
958,Portrait of a Young Girl at the End of the 60s in Brussels,,"TV Movie, Drama, Romance"
959,The Paley Center Salutes The Good Place,,Documentary
960,Céline and Julie Go Boating,,"Comedy, Drama, Fantasy"
961,Sherlock: The Great Game,,
962,Through a Glass Darkly,,Drama
963,Once Upon a Studio,,"Animation, Family, Fantasy, Comedy"
964,Anatomy of a Fall,,"Thriller, Mystery, Crime"
965,1883,,Documentary
966,My Uncle Napoleon,,
967,Thelma & Louise,,"Animation, Fantasy, Family"
968,Vulfpeck: Live at Madison Square Garden,,"Music, Documentary"
969,Azur & Asmar: The Princes' Quest,,"Animation, Family"
970,Cunk on Earth,,
971,The Umbrellas of Cherbourg,,"Drama, Romance"
972,Into the Woods,,"Fantasy, Comedy"
973,All Quiet on the Western Front,,"Drama, War, Action"
974,Butch Cassidy and the Sundance Kid,,Western
975,Burn the Stage: The Movie,,"Music, Documentary"
976,Phantom Thread,,"Drama, Romance"
977,Dave Chappelle: For What It's Worth,,Comedy
978,Black Mirror: San Junipero,,
979,3 Women,,Drama
980,The Fire Within,,Drama
981,Faces Places,,Documentary
982,Doctor Who: City of Death,,"Comedy, Adventure, Science Fiction, TV Movie"
983,The Gold Rush,,"Adventure, Comedy, Drama"
984,Fishing with John,,"Drama, Romance, TV Movie"
985,Your Lie in April,,"Drama, Music, Romance"
986,I Am Easy to Find,,Music
987,Rilakkuma and Kaoru,,
988,Fitzcarraldo,,"Drama, Adventure"
989,Güeros,,"Drama, Comedy"
990,Double King,,"Animation, Fantasy"
991,Charulata,,Romance
992,La Maison en Petits Cubes,,Animation
993,The Great Escape,,"Adventure, Drama, History, Thriller, War"
994,1D Day,,"Drama, Music, Documentary"
995,HyperNormalisation,,Documentary
996,Once Upon a Time in Anatolia,,"Drama, Crime"
997,Monty Python and the Holy Grail,,"Adventure, Comedy, Fantasy"
998,Woodstock,,"Documentary, History, Music"
999,Dear Jinri,,"Drama, Documentary"
1000,Interface,,"Horror, Science Fiction, Thriller"
1001,Lilya 4-ever,,"Crime, Drama"
1002,In the Darkness of Time,,Drama
1003,The Return,,"Horror, Science Fiction"
1004,Every Brilliant Thing,,"Documentary, TV Movie"
1005,After Life,,"Drama, Horror, Mystery, Thriller"
1006,Die Nibelungen: Siegfried,,"Adventure, Drama, Fantasy"
1007,Hearts and Minds,,"Documentary, War"
1008,Dressed in Blue,,"Drama, Documentary"
1009,Youth of May,,
1010,SUGA | Agust D TOUR “D-DAY” in JAPAN: LIVE VIEWING,,Music
1011,The Virgin Spring,,"Drama, History"
1012,Beau Travail,,Drama
1013,Hope,,Documentary
1014,The History of the Atlanta Falcons,,
1015,Society of the Snow,,"Drama, History"
1016,The Last Movie Stars,,
1017,Il Posto,,Drama
1018,Forrest Gump,,"Comedy, Drama, Romance"
1019,C'mon C'mon,,Drama
1020,El sur,,Drama
1021,Nazi Concentration Camps,,"Documentary, History, War"
1022,Joint Security Area,,"War, Drama, Thriller, Action"
1023,Scarlet Heart: Ryeo,,
1024,Heima,,"Documentary, Music"
1025,Les Misérables - 25th Anniversary in Concert,,"History, Music"
1026,Threads,,"War, Drama, Science Fiction"
1027,Goodbye Brooklyn Nine-Nine,,"Documentary, TV Movie"
1028,Wild Tales,,"Drama, Thriller, Comedy"
1029,The Big Lebowski,,"Comedy, Crime"
1030,The Crucified Lovers,,"Drama, Romance"
1031,Rope,,"Thriller, Crime, Drama"
1032,In the Name of the Father,,Drama
1033,Jacquot de Nantes,,Drama
1034,A Place Further Than the Universe,,
1035,McCabe & Mrs. Miller,,"Western, Drama"
1036,Kiki's Delivery Service,,"Animation, Family, Fantasy"
1037,Midnight Cowboy,,Drama
1038,There’s Still Tomorrow,,"Drama, Comedy, War"
1039,My Brother Jordan,,
1040,Joyland,,Comedy
1041,Top Gear: The Great African Adventure,,"Documentary, Adventure, Comedy"
1042,Princess Tutu,,
1043,"Aguirre, the Wrath of God",,"History, Adventure, Drama"
1044,A City of Sadness,,"Drama, History"
1045,After Hours,,"Comedy, Thriller, Drama"
1046,American History X,,Drama
1047,The Travelling Players,,"Drama, War, History"
1048,63 Up,,Documentary
1049,A Grin Without a Cat,,Documentary
1050,George Carlin: Jammin' in New York,,Comedy
1051,Blue Weekend,,Drama
1052,The Double Life of Véronique,,Drama
1053,The Paley Center Salutes Parks and Recreation,,Documentary
1054,The Color of Pomegranates,,"Drama, History"
1055,Pariyerum Perumal,,"Romance, Drama"
1056,Game of Thrones - Conquest & Rebellion: An Animated History of the Seven Kingdoms,,"Animation, Fantasy, War, TV Movie"
1057,Last Twilight in Phuket,,Drama
1058,"Pretty Village, Pretty Flame",,"Drama, War"
1059,Seconds,,"Thriller, Science Fiction, Drama, Horror"
1060,Dial M for Murder,,"Thriller, Crime"
1061,Klaus,,"Animation, Family, Adventure, Comedy, Fantasy"
1062,Terrorizers,,"Drama, Crime"
1063,Sherlock: A Scandal in Belgravia,,
1064,Rabbit Fire,,"Animation, Comedy"
1065,Alice in the Cities,,Drama
1066,Kumbalangi Nights,,"Comedy, Drama, Romance"
1067,Pyaasa,,"Drama, Romance"
1068,The Doors: Live at the Bowl '68,,"Music, Documentary"
1069,The Leopard,,Drama
1070,The Power of Nightmares,,
1071,The Heiress,,"Drama, Romance, History"
1072,A Clockwork Orange,,"Science Fiction, Crime"
1073,The Intouchables,,"Drama, Comedy"
1074,The Second Mother,,Drama
1075,Toy Story,,"Animation, Adventure, Family, Comedy"
1076,Grizzly Man,,Documentary
1077,The Taste of Tea,,"Comedy, Drama"
1078,Cameraperson,,Documentary
1079,Histoire,s,"Comedy, Adventure"
1080,The Roosevelts: An Intimate History,,
1081,9/11,,"Drama, Thriller"
1082,Children of Heaven,,"Drama, Family"
1083,The Dream of a Ridiculous Man,,"Animation, Drama"
1084,The Straight Story,,Drama
1085,Ziggy Stardust and the Spiders from Mars,,Music
1086,Father Ted: A Christmassy Ted,,
1087,Rebecca,,"Mystery, Romance, Thriller"
1088,Breaking the Waves,,"Drama, Romance"
1089,The Roosevelts: An Intimate History,,
1090,The Worst Person in the World,,"Drama, Romance, Comedy"
1091,Lonesome Dove,,Western
1092,MTV’s Downtown: Behind The Scenes,,Documentary
1093,Michael Jackson: Live in Bucharest - The Dangerous Tour,,"Music, Documentary"
1094,Coco,,"Family, Animation, Music, Adventure"
1095,Patrice O'Neal: Elephant in the Room,,Comedy
1096,The Garden of Sinners: Paradox Spiral,,"Action, Animation, Drama, Mystery, Thriller, Fantasy"
1097,Arrival,,"Drama, Science Fiction, Mystery"
1098,The Underground Railroad,,Documentary
1099,Gangs of Wasseypur – Part 2,,"Crime, Thriller, Action"
1100,Blade Runner 2049,,"Science Fiction, Drama"
1101,Patlabor 2: The Movie,,"Animation, Science Fiction, Action, Thriller"
1102,The Sound of Music,,"Drama, Family, Music, Romance"
1103,Shutter Island,,"Drama, Thriller, Mystery"
1104,SHOP: A Pop Opera,,"Animation, Music, Comedy"
1105,Long Way Round,,Drama
1106,The Hidden Fortress,,"Drama, Action, Adventure"
1107,No Direction Home: Bob Dylan,,"Documentary, Music"
1108,Narcos,,Drama
1109,The Burmese Harp,,"Drama, War"
1110,The Story of the Last Chrysanthemum,,"Romance, Drama"
1111,Blue,,"Romance, Western"
1112,The Green Planet,,"Comedy, Crime, Science Fiction"
1113,Euphoria: Trouble Don't Last Always,,
1114,Revolutionary Girl Utena: The Adolescence of Utena,,"Animation, Fantasy, Action, Romance"
1115,Green Day: Bullet in a Bible,,"Documentary, Music"
1116,The Great Silence,,"Western, Drama"
1117,What We Do in the Shadows,,"Comedy, Horror"
1118,A Grand Day Out,,"Family, Animation, Comedy"
1119,The Cat Concerto,,"Animation, Comedy, Music"
1120,Dark,,"Thriller, Drama, Horror"
1121,The Innocents,,"Horror, Mystery"
1122,A Short Film About Love,,"Drama, Romance"
1123,Sassy the Sasquatch,,
1124,Two in the Shadow,,"Romance, Drama"
1125,Waitress: The Musical,,"Comedy, Drama"
1126,Scarface,,"Action, Crime, Drama"
1127,About Elly,,Drama
1128,Eddie Izzard: Dress to Kill,,Comedy
1129,Steven Universe,,"Comedy, Animation"
1130,The Graduate,,"Drama, Romance, Comedy"
1131,The Murder of Fred Hampton,,Documentary
1132,Street of Shame,,Drama
1133,Once Upon a Time in Iraq,,
1134,Kit Kat,,"Comedy, Drama"
1135,Springsteen On Broadway,,"Music, Documentary"
1136,Daisy Jones & the Six,,
1137,Pride,,"Drama, Comedy"
1138,Ranking of Kings,,"Animation, Adventure, Fantasy, Comedy"
1139,This Is England '86,,
1140,Days of Heaven,,"Drama, Romance"
1141,Le Bonheur,,"Drama, Romance"
1142,Jimi Plays Monterey,,"Documentary, Music"
1143,A Short Film About Killing,,"Crime, Drama"
1144,Watchmen: Motion Comic,,
1145,See Know Evil,,Documentary
1146,Mob Psycho 100: Reigen - The Miraculous Unknown Psychic,,
1147,Dorohedoro,,
1148,The Apothecary Diaries,,
1149,My Little Goat,,"Animation, Fantasy, Horror"
1150,Be Melodramatic,,
1151,Beck: Mongolian Chop Squad,,
1152,Gladiator,,"Action, Drama, Adventure"
1153,Gladiator,,"Action, Drama, Adventure"
1154,TRIGUN,,"Action, Animation, Science Fiction, Adventure"
1155,Be Melodramatic,,
1156,The Ox-Bow Incident,,"Western, Drama"
1157,Sanjuro,,"Drama, Action, Comedy"
1158,Mushi-Shi: The Shadow That Devours the Sun,,Animation
1159,Fighting Spirit,,"Animation, Comedy, Drama, Action"
1160,Crayon Shin-chan: Storm-invoking Passion! The Adult Empire Strikes Back,,"Animation, Comedy"
1161,RoboDoc: The Creation of RoboCop,,
1162,The Misadventures of Rick and Morty,,"Animation, Comedy, Science Fiction"
1163,"Love, Death & Robots: Jibaro",,Action
1164,Baccano!,,
1165,Not Me,,"Drama, Comedy, Romance"
1166,Kaguya-sama: Love Is War -The First Kiss That Never Ends-,,"Animation, Comedy, Romance"
1167,Vada Chennai,,"Action, Crime, Drama"
1168,Brokeback Mountain,,"Drama, Romance"
1169,The Sword of Doom,,"Action, Drama"
1170,Extraordinary Stories,,Drama
1171,Memories of Matsuko,,"Comedy, Drama, Music"
1172,In Bruges,,"Comedy, Drama, Crime"
1173,The Suspended Step of the Stork,,Drama
1174,Good Omens: Lockdown,,"Comedy, Fantasy"
1175,Coldplay: Music of the Spheres - Live Broadcast from Buenos Aires,,Music
1176,Logan,,"Action, Drama, Science Fiction"
1177,Falling in Love Like in Movies,,"Comedy, Drama, Romance"
1178,George Harrison: Living in the Material World,,"Music, Documentary"
1179,Joe Pera: Slow & Steady,,Comedy
1180,Prince: Sign O' the Times,,"Music, Documentary"
1181,Turtles Can Fly,,Drama
1182,Samurai Jack: The Premiere Movie,,"Science Fiction, Action, Animation, Fantasy, TV Movie"
1183,The Bitter Tears of Petra von Kant,,"Drama, Romance"
1184,history of japan,,
1185,The Pacific,,"Adventure, Thriller, Drama"
1186,The Tatami Time Machine Blues,,"Animation, Comedy, Drama"
1187,Jurassic Park,,"Adventure, Science Fiction"
1188,Lessons of Darkness,,"War, Documentary"
1189,Amarcord,,"Comedy, Drama"
1190,Mr. Bachmann and His Class,,Documentary
1191,Manchester by the Sea,,Drama
1192,The Servant,,Drama
1193,Battlestar Galactica,,"Science Fiction, Adventure"
1194,Adaptation.,,"Comedy, Crime, Drama"
1195,The Diving Bell and the Butterfly,,"Drama, History"
1196,In Space with Markiplier,,"Adventure, Comedy, Science Fiction"
1197,1917,,"War, Action, Drama, History"
1198,Nirvana: Live And Loud,,"Music, Documentary"
1199,Dead Man's Letters,,"Drama, Science Fiction"
1200,The Tragedy of Man,,"Animation, Drama, History"
1201,Love & Pop,,"Romance, Action, Drama"
1202,Blow Out,,"Thriller, Mystery, Crime"
1203,The Wolf House,,"Animation, Horror, Drama"
1204,Out of the Past,,"Crime, Romance, Thriller"
1205,The Banshees of Inisherin,,"Drama, Comedy"
1206,Twenty-Four Eyes,,Drama
1207,Disintegration Loop 1.1,,"Documentary, Music"
1208,Greatest Events of World War II in Colour,,
1209,They Shall Not Grow Old,,"Documentary, History, War"
1210,Riceboy Sleeps,,Drama
1211,Kanal,,"War, Drama"
1212,Downfall,,"Drama, Mystery"
