popularity_rank,title,year,genres
546,Eighth Grade,,"Comedy, Drama"
547,Teenage Mutant Ninja Turtles: Mutant Mayhem,,"Animation, Comedy, Action, Science Fiction"
548,Nobody,,"Action, Thriller"
549,Raw,,
550,Drive My Car,,Drama
551,Indiana Jones and the Temple of Doom,,"Adventure, Action"
552,Shazam!,,"Action, Comedy, Fantasy"
553,Titane,,"Drama, Thriller, Horror"
554,Home Alone 2: Lost in New York,,"Comedy, Family, Adventure"
555,Madagascar,,"Family, Animation, Adventure, Comedy"
556,Venom: Let There Be Carnage,,"Science Fiction, Action, Adventure"
557,Do the Right Thing,,Drama
558,Paddington,,"Comedy, Adventure, Family"
559,How the Grinch Stole Christmas,,"Family, Comedy, Fantasy"
560,Rocketman,,"Music, Drama"
561,Moneyball,,Drama
562,The Babadook,,"Drama, Horror"
563,Kick-Ass,,"Action, Crime"
564,Mission: Impossible – Fallout,,"Action, Adventure"
565,Edge of Tomorrow,,"Action, Science Fiction"
566,Before Midnight,,"Romance, Drama"
567,Indiana Jones and the Dial of Destiny,,"Adventure, Action"
568,Monty Python and the Holy Grail,,"Adventure, Comedy, Fantasy"
569,Old,,"Thriller, Mystery, Horror"
570,Matilda,,"Comedy, Family, Fantasy"
571,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,,Comedy
572,Air,,Drama
573,War for the Planet of the Apes,,"Drama, Science Fiction, War"
574,The Pursuit of Happyness,,Drama
575,Emma.,,"Documentary, Drama"
576,The Secret Life of Walter Mitty,,"Adventure, Comedy, Drama, Fantasy"
577,Man of Steel,,"Action, Adventure, Science Fiction"
578,Beauty and the Beast,,"Romance, Family, Animation, Fantasy"
579,Hit Man,,"Crime, Comedy, Romance"
580,Dream Scenario,,"Comedy, Fantasy"
581,X-Men: First Class,,"Action, Science Fiction, Adventure"
582,Night at the Museum,,"Action, Adventure, Comedy, Family, Fantasy"
583,The Wonderful Story of Henry Sugar,,"Comedy, Fantasy, Adventure"
584,The Evil Dead,,Horror
585,Bo Burnham: Inside,,"Comedy, Drama"
586,The Talented Mr. Ripley,,"Thriller, Crime, Drama"
587,The Princess and the Frog,,"Animation, Romance, Fantasy, Family"
588,In Bruges,,"Comedy, Drama, Crime"
589,The Mitchells vs. The Machines,,"Animation, Adventure, Comedy"
590,The Flash,,"Action, Adventure, Science Fiction"
591,Snatch,,"Crime, Comedy"
592,The Twilight Saga: New Moon,,"Adventure, Fantasy, Drama, Romance"
593,Spotlight,,"Drama, History"
594,Jackie Brown,,"Crime, Drama, Thriller"
595,The Hunt,,"Action, Thriller, Horror"
596,28 Days Later,,"Horror, Thriller, Science Fiction"
597,Hercules,,"Animation, Family, Fantasy, Adventure, Comedy, Romance"
598,MaXXXine,,"Horror, Crime, Mystery"
599,Stalker,,"Thriller, Horror"
600,A Quiet Place: Day One,,"Horror, Science Fiction, Thriller"
601,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",,"Adventure, Family, Fantasy"
602,Dirty Dancing,,"Drama, Music, Romance"
603,Into the Wild,,"Adventure, Drama"
604,Baby Reindeer,,Documentary
605,The Wizard of Oz,,"Adventure, Fantasy, Family"
606,Life Is Beautiful,,"Comedy, Drama"
607,Pirates of the Caribbean: At World's End,,"Adventure, Fantasy, Action"
608,Ted,,"Comedy, Fantasy"
609,Zoolander,,Comedy
610,Frozen II,,"Family, Animation, Adventure, Comedy, Fantasy"
611,West Side Story,,"Drama, Romance, Crime"
612,World War Z,,"Action, Drama, Horror, Science Fiction, Thriller"
613,The Iron Giant,,"Family, Animation, Science Fiction, Adventure"
614,Climax,,"Horror, Drama"
615,House of Gucci,,"History, Drama, Crime"
616,To All the Boys I've Loved Before,,"Comedy, Romance"
617,The Platform,,"Thriller, Horror"
618,Cinema Paradiso,,"Drama, Romance"
619,Chinatown,,"Crime, Drama, Mystery, Thriller"
620,Romeo + Juliet,,"Drama, Romance"
621,Decision to Leave,,"Thriller, Mystery, Romance"
622,Marcel the Shell with Shoes On,,"Animation, Comedy, Family"
623,The Graduate,,"Drama, Romance, Comedy"
624,Cast Away,,"Adventure, Drama"
625,10 Cloverfield Lane,,"Thriller, Science Fiction, Drama, Horror"
626,Dallas Buyers Club,,"Drama, History"
627,"Red, White & Royal Blue",,"Comedy, Romance"
628,Rango,,"Animation, Comedy, Family, Western, Adventure"
629,Slumdog Millionaire,,"Drama, Romance"
630,Scream 2,,"Horror, Mystery"
631,The Hobbit: The Desolation of Smaug,,"Fantasy, Adventure, Action"
632,I Saw the TV Glow,,"Drama, Horror"
633,Infinity Pool,,"Horror, Science Fiction"
634,Okja,,"Adventure, Drama, Science Fiction"
635,Malignant,,Horror
636,Rushmore,,"Comedy, Drama"
637,Mission: Impossible,,"Adventure, Action, Thriller"
638,Amadeus,,"History, Music, Drama"
639,Blue Valentine,,"Drama, Romance"
640,The Unbearable Weight of Massive Talent,,"Action, Comedy, Crime"
641,Deadpool & Wolverine,,"Science Fiction, Action, Comedy"
642,The Theory of Everything,,"Drama, Romance"
643,The Holiday,,"Comedy, Romance"
644,Normal People,,Drama
645,The Proposal,,"Comedy, Romance, Drama"
646,The Life Aquatic with Steve Zissou,,"Adventure, Comedy, Drama"
647,The Father,,Drama
648,The Master,,Drama
649,Paddington 2,,"Adventure, Comedy, Family"
650,Zack Snyder's Justice League,,"Action, Adventure, Fantasy"
651,Do Revenge,,"Comedy, Thriller, Romance"
652,Godzilla vs. Kong,,"Action, Science Fiction, Adventure"
653,Thelma & Louise,,"Animation, Fantasy, Family"
654,Prey,,"Thriller, Action, Science Fiction"
655,Maestro,,"Drama, Romance, Music"
656,Uncharted,,"Action, Adventure"
657,Big Fish,,"Adventure, Fantasy, Drama"
658,Napoleon Dynamite,,Comedy
659,A Ghost Story,,"Drama, Fantasy"
660,CODA,,"Drama, Music, Romance"
661,Loki,,
662,Minions: The Rise of Gru,,"Animation, Comedy, Family, Adventure"
663,White Chicks,,"Comedy, Crime"
664,Creed,,"Action, Drama"
665,El Camino: A Breaking Bad Movie,,"Crime, Drama, Thriller"
666,Dog Day Afternoon,,"Crime, Drama, Thriller"
667,A Bug's Life,,"Family, Animation, Adventure, Comedy"
668,Enola Holmes,,"Adventure, Mystery, Crime"
669,Mysterious Skin,,Drama
670,Breakfast at Tiffany's,,"Comedy, Romance, Drama"
671,Mamma Mia! Here We Go Again,,"Comedy, Romance"
672,The Creator,,"Action, Adventure, Science Fiction"
673,Under the Skin,,"Thriller, Science Fiction, Drama"
674,The Little Mermaid,,"Adventure, Family, Fantasy, Romance"
675,The Polar Express,,"Animation, Adventure, Family, Fantasy"
676,The Gentlemen,,"Action, Crime, Comedy"
677,Onward,,"Family, Animation, Adventure, Comedy, Fantasy"
678,The Game,,"Drama, Thriller, Mystery"
679,House,,"Comedy, Horror, Fantasy"
680,The Incredible Hulk,,"Science Fiction, Action, Adventure"
681,We Need to Talk About Kevin,,"Drama, Thriller"
682,A Beautiful Mind,,"Drama, Romance"
683,The Matrix Reloaded,,"Adventure, Action, Thriller, Science Fiction"
684,Nightmare Alley,,"Crime, Drama, Thriller"
685,Inside Llewyn Davis,,"Drama, Music"
686,The Mask,,"Romance, Comedy, Crime, Fantasy"
687,I Am Legend,,"Drama, Science Fiction, Thriller"
688,Me Before You,,"Drama, Romance"
689,The Hobbit: The Battle of the Five Armies,,"Action, Adventure, Fantasy"
690,Moulin Rouge!,,"Drama, Romance, Music"
691,The Intouchables,,"Drama, Comedy"
692,Back to the Future Part III,,"Adventure, Comedy, Science Fiction"
693,The Fly,,"Horror, Science Fiction"
694,Knock at the Cabin,,"Thriller, Mystery, Horror"
695,Jumanji,,"Adventure, Fantasy, Family"
696,Swiss Army Man,,"Comedy, Drama, Romance, Fantasy, Adventure"
697,Watchmen,,"Mystery, Action, Science Fiction"
698,The Farewell,,"Comedy, Drama"
699,Kingsman: The Golden Circle,,"Action, Adventure, Comedy"
700,Chernobyl,,Documentary
701,The Matrix Resurrections,,"Science Fiction, Action, Adventure"
702,X-Men,,"Action, Adventure, Science Fiction, Fantasy"
703,Wonder Woman 1984,,"Action, Adventure, Fantasy"
704,Castle in the Sky,,"Adventure, Fantasy, Animation, Action, Family, Romance"
705,Kingdom of the Planet of the Apes,,"Science Fiction, Adventure, Action"
706,Hidden Figures,,"Drama, History"
707,Freaky Friday,,"Comedy, Family, Fantasy"
708,Immaculate,,"Horror, Mystery, Thriller"
709,Close,,Drama
710,Game Night,,"Mystery, Comedy, Crime"
711,"Love, Simon",,"Comedy, Drama, Romance"
712,Batman,,"Fantasy, Action, Crime"
713,Ad Astra,,"Science Fiction, Drama"
714,The Conjuring 2,,Horror
715,The Seventh Seal,,"Fantasy, Drama"
716,A Silent Voice,,"Animation, Drama"
717,How to Train Your Dragon 2,,"Fantasy, Action, Adventure, Animation, Comedy, Family"
718,Dogtooth,,Drama
719,Incendies,,"Drama, War, Mystery"
720,Bridget Jones's Diary,,"Comedy, Romance, Drama"
721,Insidious,,"Horror, Thriller"
722,Beauty and the Beast,,"Romance, Family, Animation, Fantasy"
723,The Devil All the Time,,"Crime, Drama, Thriller"
724,Fear Street: 1994,,"Mystery, Horror"
725,Shrek the Third,,"Fantasy, Adventure, Animation, Comedy, Family"
726,Neon Genesis Evangelion: The End of Evangelion,,"Animation, Science Fiction, Action, Drama"
727,The Twilight Saga: Eclipse,,"Adventure, Fantasy, Drama, Romance"
728,Cars 2,,"Animation, Family, Adventure, Comedy"
729,The Mummy,,"Adventure, Action, Fantasy"
730,Barry Lyndon,,"Drama, Romance, War"
731,Scooby-Doo,,"Mystery, Adventure, Comedy"
732,Madame Web,,"Action, Fantasy"
733,Doctor Sleep,,"Horror, Thriller, Fantasy"
734,Airplane!,,Comedy
735,Willy Wonka & the Chocolate Factory,,"Family, Fantasy, Comedy"
736,Misery,,"Drama, Thriller"
737,Burn After Reading,,"Comedy, Drama"
738,The Wind Rises,,"Drama, Animation, Romance, War, History"
739,Bridesmaids,,"Comedy, Romance"
740,The Help,,Drama
741,The Sound of Music,,"Drama, Family, Music, Romance"
742,This Is the End,,"Action, Comedy"
743,Lucy,,"Action, Science Fiction"
744,Judas and the Black Messiah,,"Drama, History"
745,After Hours,,"Comedy, Thriller, Drama"
746,Divergent,,"Action, Adventure, Science Fiction"
747,Melancholia,,"Drama, Science Fiction"
748,The King of Comedy,,"Drama, Comedy"
749,Kinds of Kindness,,"Drama, Comedy"
750,The Boy in the Striped Pyjamas,,"Drama, War, History"
751,Fury,,"War, Drama, Action"
752,22 Jump Street,,"Crime, Comedy, Action"
753,She's the Man,,"Comedy, Romance"
754,50 First Dates,,"Comedy, Romance"
755,The Fault in Our Stars,,"Romance, Drama"
756,Tropic Thunder,,"Action, Comedy, Adventure, War"
757,Burning,,Documentary
758,Hamilton,,"History, Drama"
759,RRR,,"Action, Drama, History"
760,Kung Fu Panda 2,,"Animation, Family, Comedy"
761,The Disaster Artist,,"Comedy, Drama"
762,The 40 Year Old Virgin,,"Comedy, Romance"
763,Justice League,,"Animation, Science Fiction, Action"
764,The Fast and the Furious,,"Action, Crime, Thriller"
765,The House That Jack Built,,"Drama, Horror, Crime, Thriller"
766,The Tree of Life,,"Drama, Fantasy"
767,The Craft,,"Horror, Drama, Fantasy"
768,Scream 4,,"Horror, Mystery"
769,Gremlins,,"Fantasy, Horror, Comedy"
770,The Goonies,,"Adventure, Comedy, Family"
771,Pacific Rim,,"Action, Science Fiction, Adventure"
772,Minority Report,,"Science Fiction, Action, Thriller"
773,We're the Millers,,"Comedy, Crime"
774,The Trial of the Chicago 7,,"Drama, History"
775,Evil Dead II,,"Horror, Comedy, Fantasy"
776,The Marvels,,"Science Fiction, Adventure, Action"
777,Jurassic World: Fallen Kingdom,,"Action, Adventure, Science Fiction, Thriller"
778,"Synecdoche, New York",,Drama
779,X-Men: Apocalypse,,"Action, Adventure, Science Fiction, Fantasy"
780,Thirteen,,Drama
781,High School Musical,,"Comedy, Drama, Family, Music, Romance, TV Movie"
782,The Twilight Saga: Breaking Dawn – Part 2,,"Adventure, Fantasy, Drama, Romance"
783,Prometheus,,"Science Fiction, Adventure, Mystery"
784,Sunset Boulevard,,Drama
785,Raya and the Last Dragon,,"Animation, Family, Fantasy, Action, Adventure"
786,Nimona,,"Adventure, Animation, Fantasy, Family, Action, Science Fiction"
787,Jurassic World Dominion,,"Adventure, Action, Science Fiction"
788,Death Proof,,"Action, Thriller"
789,Scary Movie,,Comedy
790,Maleficent,,"Fantasy, Adventure, Action, Family, Romance"
791,Kong: Skull Island,,"Action, Adventure, Fantasy"
792,Glass,,"Thriller, Drama, Science Fiction"
793,Les Misérables,,"Drama, History"
794,Videodrome,,"Horror, Science Fiction, Mystery"
795,Murder on the Orient Express,,"Mystery, Drama, Crime"
796,The Butterfly Effect,,"Science Fiction, Thriller"
797,Pokémon Detective Pikachu,,"Action, Adventure, Fantasy"
798,The Fifth Element,,"Adventure, Fantasy, Action, Thriller, Science Fiction"
799,The Place Beyond the Pines,,"Drama, Crime"
800,Twisters,,"Action, Adventure, Drama"
801,Transformers,,"Adventure, Science Fiction, Action"
802,Klaus,,"Animation, Family, Adventure, Comedy, Fantasy"
803,Waves,,"Romance, Drama"
804,The Twilight Saga: Breaking Dawn – Part 1,,"Adventure, Fantasy, Romance"
805,"O Brother, Where Art Thou?",,"Adventure, Comedy, Crime"
806,The Terminal,,"Comedy, Drama"
807,Captain Fantastic,,"Adventure, Drama"
808,Sinister,,"Horror, Thriller, Mystery"
809,Spectre,,"Action, Adventure, Thriller"
810,Shoplifters,,"Drama, Crime, Thriller"
811,Clue,,"Comedy, Thriller, Crime, Mystery"
812,Fantastic Beasts: The Crimes of Grindelwald,,"Fantasy, Adventure"
813,The Gray Man,,"Action, Thriller"
814,Interview with the Vampire,,"Horror, Drama, Fantasy"
815,Nausicaä of the Valley of the Wind,,"Adventure, Animation, Fantasy"
816,Ralph Breaks the Internet,,"Family, Animation, Comedy, Adventure"
817,Men,,"Horror, Thriller, Fantasy"
818,Predator,,"Science Fiction, Action, Adventure, Thriller"
819,District 9,,Science Fiction
820,The Lion King,,"Family, Animation, Drama"
821,Aladdin,,"Animation, Family, Adventure, Fantasy, Romance"
822,Bram Stoker's Dracula,,"Romance, Horror"
823,Scream 3,,"Horror, Mystery"
824,Project X,,Comedy
825,Indiana Jones and the Kingdom of the Crystal Skull,,"Adventure, Action"
826,Cloudy with a Chance of Meatballs,,"Animation, Comedy, Family"
827,Bee Movie,,"Family, Animation, Adventure, Comedy"
828,Collateral,,"Drama, Crime, Thriller"
829,I Care a Lot,,"Comedy, Crime, Thriller, Drama"
830,Sherlock Holmes,,"Action, Adventure, Crime, Mystery"
831,Monster,,"Crime, Drama"
832,Black Adam,,"Action, Adventure, Science Fiction"
833,The Birds,,Horror
834,Friday the 13th,,Horror
835,Ghost in the Shell,,"Action, Animation, Science Fiction"
836,The King's Speech,,"Drama, History"
837,Unbreakable,,"Thriller, Drama, Mystery"
838,Fear and Loathing in Las Vegas,,"Adventure, Drama, Comedy"
839,Gangs of New York,,"Drama, History, Crime"
840,The Apartment,,"Comedy, Drama, Romance"
841,Looper,,"Action, Thriller, Science Fiction"
842,Mommy,,Drama
843,Hocus Pocus,,"Fantasy, Comedy, Family"
844,Grown Ups,,Comedy
845,Mission: Impossible – Rogue Nation,,"Action, Adventure"
846,Godzilla × Kong: The New Empire,,"Science Fiction, Action, Adventure"
847,"Love, Rosie",,"Romance, Drama, Comedy"
848,Happy Death Day,,"Horror, Mystery, Comedy, Thriller"
849,Twelve Monkeys,,"Science Fiction, Thriller, Mystery"
850,Lawrence of Arabia,,"Adventure, History, War"
851,Porco Rosso,,"Family, Comedy, Animation, Adventure"
852,Rain Man,,Drama
853,Despicable Me 2,,"Animation, Comedy, Family"
854,The Elephant Man,,"Drama, History"
855,Pig,,"Drama, Thriller"
856,Enchanted,,"Comedy, Family, Fantasy, Romance"
857,Whisper of the Heart,,"Animation, Drama, Family"
858,Saw X,,"Horror, Thriller"
859,The Purge,,"Science Fiction, Horror, Thriller"
860,Argo,,"Drama, Thriller"
861,Hugo,,"Adventure, Drama, Family"
862,Batman Returns,,"Action, Fantasy"
863,First Reformed,,Drama
864,Mission: Impossible – Ghost Protocol,,"Action, Thriller, Adventure"
865,Step Brothers,,Comedy
866,Borat Subsequent Moviefilm,,Comedy
867,The Conjuring: The Devil Made Me Do It,,"Horror, Mystery, Thriller"
868,Harakiri,,Drama
869,8½,,Drama
870,Halloween,,"Horror, Thriller"
871,Green Room,,"Horror, Crime, Thriller"
872,X2,,"Adventure, Action, Science Fiction"
873,The Matrix Revolutions,,"Adventure, Action, Thriller, Science Fiction"
874,The Last Duel,,"History, Drama, Action"
875,Fear Street: 1978,,"Mystery, Horror"
876,300,,"Action, Adventure, War"
877,8 Mile,,"Drama, Music"
878,Adaptation.,,"Comedy, Crime, Drama"
879,Mandy,,"Fantasy, Action, Horror"
880,Metropolis,,"Drama, Science Fiction"
881,Lost Highway,,"Drama, Thriller, Mystery"
882,Sweeney Todd: The Demon Barber of Fleet Street,,"Drama, Horror"
883,The Skin I Live In,,"Drama, Horror, Mystery, Thriller"
884,Braveheart,,"Action, Drama, History, War"
885,Hunt for the Wilderpeople,,"Adventure, Comedy, Drama"
886,American Hustle,,"Drama, Crime"
887,Don't Breathe,,"Horror, Thriller"
888,Lightyear,,"Animation, Science Fiction, Family, Adventure"
889,The Others,,"Horror, Mystery, Thriller"
890,Anchorman: The Legend of Ron Burgundy,,Comedy
891,Godzilla,,"Action, Drama, Science Fiction"
892,Monster House,,"Animation, Comedy, Family, Fantasy"
893,Click,,"Comedy, Drama, Fantasy"
894,Death on the Nile,,"Mystery, Crime, Thriller"
895,Y Tu Mamá También,,"Drama, Romance"
896,Tarzan,,"Family, Adventure, Animation, Drama"
897,Signs,,"Drama, Thriller, Science Fiction, Mystery"
898,The Simpsons Movie,,"Animation, Comedy, Family"
899,Theater Camp,,Comedy
900,Training Day,,"Action, Crime, Drama"
901,Yesterday,,"Comedy, Fantasy, Music, Romance"
902,Orphan,,"Horror, Thriller, Mystery"
903,Closer,,"Drama, Romance"
904,Hellraiser,,"Horror, Mystery"
905,Under the Silver Lake,,"Crime, Drama, Mystery"
906,The SpongeBob SquarePants Movie,,"Family, Animation, Comedy, Fantasy, Adventure"
907,My Own Private Idaho,,Drama
908,A Haunting in Venice,,"Mystery, Thriller, Crime"
909,"Are You There God? It's Me, Margaret.",,"Comedy, Drama"
910,The Ballad of Buster Scruggs,,"Western, Comedy, Drama"
911,The Neon Demon,,"Thriller, Horror"
912,The Machinist,,"Thriller, Drama"
913,The King,,"Science Fiction, Adventure, Action"
914,20th Century Women,,Drama
915,Pirates of the Caribbean: On Stranger Tides,,"Adventure, Action, Fantasy"
916,Annie Hall,,"Comedy, Drama, Romance"
917,The Godfather: Part III,,"Crime, Drama, Thriller"
918,First Man,,"History, Drama"
919,Submarine,,"Drama, Comedy, Romance"
920,You Were Never Really Here,,"Crime, Drama, Thriller"
921,Funny Games,,"Drama, Horror, Thriller"
922,Creed III,,"Drama, Action"
923,Passengers,,"Drama, Romance, Science Fiction"
924,Bridge to Terabithia,,"Adventure, Drama, Family"
925,Once Upon a Time in America,,"Drama, Crime"
926,Morbius,,"Action, Science Fiction, Fantasy"
927,Loving Vincent,,"Animation, Drama, Mystery, History"
928,Chicken Run,,"Animation, Comedy, Family"
929,Zombieland: Double Tap,,"Comedy, Horror"
930,L.A. Confidential,,"Crime, Mystery, Thriller"
931,The Adam Project,,"Adventure, Science Fiction"
932,Sing Street,,"Romance, Drama, Music"
933,RoboCop,,"Science Fiction, Action, Crime"
934,Enter the Void,,"Fantasy, Drama"
935,Snow White and the Seven Dwarfs,,"Fantasy, Animation, Family"
936,The Piano Teacher,,"Drama, Romance"
937,The Lost World: Jurassic Park,,"Adventure, Action, Science Fiction"
938,Totally Killer,,"Comedy, Horror, Science Fiction"
939,The World's End,,"Comedy, Action, Science Fiction"
940,Creep,,"Horror, Thriller, Mystery"
941,Alice in Wonderland,,"Family, Fantasy, Adventure"
942,Paths of Glory,,"War, Drama, History"
943,Saw II,,Horror
944,Twin Peaks: Fire Walk with Me,,"Drama, Mystery, Horror"
945,Chicago,,"Comedy, Crime, Drama"
946,C'mon C'mon,,Drama
947,Some Like It Hot,,"Comedy, Romance, Crime"
948,The Descent,,"Adventure, Horror"
949,When Evil Lurks,,"Horror, Thriller"
950,Who Framed Roger Rabbit,,"Fantasy, Animation, Comedy, Crime"
951,North by Northwest,,"Mystery, Thriller, Adventure"
952,Lisa Frankenstein,,"Comedy, Horror, Romance"
953,Sonic the Hedgehog,,"Action, Science Fiction, Comedy, Family"
954,Spring Breakers,,"Drama, Crime"
955,Moon Knight,,Action
956,The Wolverine,,"Action, Science Fiction, Adventure"
957,The Addams Family,,"Family, Animation, Comedy, Fantasy"
958,Nosferatu,,"Drama, Fantasy, Horror"
959,Battle Royale,,"Drama, Thriller, Action"
960,Taylor Swift: The Eras Tour,,Music
961,American Sniper,,"War, Action"
962,Final Destination,,Horror
963,BEEF,,"Documentary, Music"
964,Over the Garden Wall,,Comedy
965,Road House,,"Action, Thriller"
966,Buffalo '66,,"Drama, Romance, Comedy"
967,Ocean's Twelve,,"Thriller, Crime"
968,Sausage Party,,"Adventure, Animation, Comedy, Fantasy"
969,Million Dollar Baby,,Drama
970,The Hangover Part II,,Comedy
971,The Lost Daughter,,Drama
972,Hush,,"Horror, Thriller"
973,The Interview,,"Action, Comedy"
974,Suzume,,"Animation, Drama, Adventure, Fantasy"
975,Blue Beetle,,"Action, Science Fiction, Adventure"
976,Minions,,"Family, Animation, Adventure, Comedy"
977,Coherence,,"Thriller, Science Fiction"
978,Pirates of the Caribbean: Dead Men Tell No Tales,,"Adventure, Action, Fantasy"
979,Labyrinth,,"Adventure, Family, Fantasy"
980,Renfield,,"Comedy, Horror"
981,Solaris,,"Drama, Science Fiction, Mystery"
982,Hotel Transylvania,,"Animation, Comedy, Family, Fantasy"
983,The Guilty,,"Drama, Thriller"
984,Now You See Me 2,,"Crime, Thriller, Action, Mystery"
985,Night of the Living Dead,,"Horror, Thriller, Science Fiction"
986,Yi Yi,,Drama
987,Mystic River,,"Thriller, Crime, Drama, Mystery"
988,King Richard,,"Drama, History"
989,The 400 Blows,,Drama
990,Life of Brian,,Comedy
991,Fantastic Planet,,"Animation, Science Fiction"
992,Bolt,,"Animation, Family, Adventure, Comedy"
993,Wonder,,"Drama, Family"
994,What's Eating Gilbert Grape,,"Romance, Drama"
995,X-Men Origins: Wolverine,,"Adventure, Action, Science Fiction"
996,Shrek Forever After,,"Comedy, Adventure, Fantasy, Animation, Family"
997,Crimson Peak,,"Horror, Romance"
998,The Prince of Egypt,,"Adventure, Animation, Drama, Family"
999,The Fast and the Furious: Tokyo Drift,,"Action, Crime, Drama, Thriller"
1000,Breathless,,"Romance, Drama, Action"
1001,Evil Dead,,Horror
1002,Happy Together,,"Drama, Romance"
1003,A Simple Favor,,"Crime, Thriller, Comedy"
1004,Blue Is the Warmest Color,,"Romance, Drama"
1005,The Aviator,,Drama
1006,Chef,,Comedy
1007,Shark Tale,,"Animation, Action, Comedy, Family"
1008,Fantastic Beasts: The Secrets of Dumbledore,,"Fantasy, Adventure"
1009,X-Men: The Last Stand,,"Adventure, Action, Science Fiction, Thriller"
1010,127 Hours,,"Adventure, Drama, Thriller"
1011,The Ring,,"Horror, Mystery"
1012,How to Train Your Dragon: The Hidden World,,"Animation, Family, Adventure"
1013,Candyman,,"Drama, Horror, Thriller"
1014,Cloverfield,,"Action, Thriller, Science Fiction"
1015,Hustle,,"Drama, Comedy"
1016,Godzilla: King of the Monsters,,"Science Fiction, Action"
1017,Where the Crawdads Sing,,"Drama, Mystery, Romance"
1018,Rope,,"Thriller, Crime, Drama"
1019,Lion,,Drama
1020,Friends with Benefits,,"Romance, Comedy"
1021,Crimes of the Future,,"Science Fiction, Horror"
1022,Spree,,"Comedy, Crime, Horror"
1023,Moon,,"Science Fiction, Drama"
1024,Me and Earl and the Dying Girl,,"Drama, Comedy"
1025,[REC],,"Thriller, Horror"
1026,Cure,,"Comedy, Horror"
1027,Insomnia,,"Crime, Thriller"
1028,Women Talking,,Drama
1029,Irreversible,,"Drama, Thriller, Crime"
1030,Silence,,"Drama, History"
1031,The Mist,,"Horror, Science Fiction, Thriller"
1032,Gran Torino,,Drama
1033,Fear Street: 1666,,"Mystery, Horror"
1034,Jumanji: The Next Level,,"Adventure, Comedy, Fantasy"
1035,Brazil,,"Comedy, Science Fiction"
1036,Damsel,,"Fantasy, Action, Adventure"
1037,The Secret World of Arrietty,,"Fantasy, Animation, Family"
1038,The Tragedy of Macbeth,,"Drama, War"
1039,The Falcon and the Winter Soldier,,
1040,The Love Witch,,"Horror, Comedy, Romance"
1041,Space Jam,,"Family, Animation, Comedy, Science Fiction, Adventure, Fantasy"
1042,Inherent Vice,,"Drama, Mystery, Comedy"
1043,Poltergeist,,Horror
1044,The Bourne Identity,,"Action, Drama, Mystery, Thriller"
1045,Audition,,Comedy
1046,They Live,,"Science Fiction, Action"
1047,The Karate Kid,,"Action, Drama, Family"
1048,See How They Run,,"Mystery, Comedy, Crime"
1049,Speed,,"Action, Thriller"
1050,Sin City,,"Thriller, Action, Crime"
1051,The Deer Hunter,,"Drama, War"
1052,Rashomon,,"Crime, Drama, Mystery"
1053,Abigail,,"Horror, Thriller"
1054,Ikiru,,Drama
1055,Independence Day,,"Action, Adventure, Science Fiction"
1056,Thanksgiving,,"Horror, Mystery, Thriller"
1057,"As Above, So Below",,"Horror, Thriller"
1058,Hell or High Water,,"Western, Crime, Drama"
1059,True Grit,,"Drama, Adventure, Western"
1060,The Nun,,Horror
1061,Mission: Impossible III,,"Adventure, Action, Thriller"
1062,Sleepy Hollow,,"Drama, Fantasy, Thriller, Mystery, Horror"
1063,Kung Fu Panda 4,,"Animation, Family, Fantasy"
1064,Close Encounters of the Third Kind,,"Science Fiction, Drama"
1065,The Bling Ring,,"Drama, Crime"
1066,Hustlers,,"Drama, Comedy, Crime"
1067,The Host,,"Action, Adventure, Science Fiction"
1068,Point Break,,"Action, Thriller, Crime"
1069,Raising Arizona,,"Comedy, Crime"
1070,One Day,,"Horror, Science Fiction, Thriller"
1071,Ghostbusters: Afterlife,,"Fantasy, Comedy, Adventure, Science Fiction"
1072,Red Notice,,"Action, Comedy, Crime"
1073,High School Musical 2,,"Comedy, Drama, Family, Music, Romance, TV Movie"
1074,Halloween Kills,,"Horror, Thriller"
1075,Alita: Battle Angel,,"Action, Science Fiction, Adventure"
1076,Blonde,,Drama
1077,The First Omen,,Horror
1078,The Wicker Man,,"Horror, Mystery, Thriller"
1079,Rush Hour,,"Action, Comedy, Crime"
1080,Ran,,
1081,Natural Born Killers,,"Crime, Thriller, Drama"
1082,Paterson,,"Drama, Comedy, Romance"
1083,Mank,,"Drama, History"
1084,Bruce Almighty,,"Fantasy, Comedy"
1085,Once Upon a Time in the West,,"Drama, Western"
1086,Kung Fu Panda 3,,"Action, Adventure, Animation, Comedy, Family"
1087,Ferrari,,"History, Drama"
1088,Bicycle Thieves,,Drama
1089,The Bikeriders,,"Crime, Drama"
1090,Lolita,,"Drama, Romance"
1091,Mission: Impossible II,,"Adventure, Action, Thriller"
1092,Sing,,"Animation, Comedy, Family, Music"
1093,Three Colours: Blue,,Drama
1094,Mrs. Doubtfire,,"Comedy, Drama, Family"
1095,Mirror,,"Science Fiction, Drama, Romance"
1096,I Saw the Devil,,"Thriller, Horror"
1097,The Lost Boys,,"Horror, Comedy, Thriller"
1098,All Too Well: The Short Film,,"Drama, Music"
1099,Skinamarink,,Horror
1100,Mad Max,,"Action, Adventure, Science Fiction"
1101,Belfast,,"Drama, History"
